Province/territory,First Nation/Indian band or Tribal Council area,Census subdivision/designated place
Newfoundland and Labrador,Miawpukek First Nation,"Samiajij Miawpukek, IRI (1003801)"
Newfoundland and Labrador,Mushuau Innu First Nation,"Natuashish 2, IRI (1010801)"
Newfoundland and Labrador,Sheshatshiu Innu First Nation,"Sheshatshiu 3, IRI (1010802)"
Prince Edward Island,Abegweit First Nation,"Morell 2, IRI (1101050); Rocky Point 3, IRI (1102030); Scotchfort 4, IRI (1102057)"
Prince Edward Island,Lennox Island First Nation,"Lennox Island 1, IRI (1103035)"
Prince Edward Island,Mi'kmaq Confederacy of PEI,"Morell 2, IRI (1101050); Rocky Point 3, IRI (1102030); Scotchfort 4, IRI (1102057); Lennox Island 1, IRI (1103035)"
Nova Scotia,Acadia First Nation,"Yarmouth 33, IRI (1202040); Ponhook Lake 10, IRI (1204009); Wildcat 12, IRI (1204015); Gold River 21, IRI (1206011)"
Nova Scotia,Annapolis Valley First Nation,"Cambridge 32, IRI (1207002)"
Nova Scotia,Bear River First Nation,"Bear River (Part) 6, IRI (1203009); Bear River (Part) 6, IRI (1205002); Bear River 6B, IRI (1205006)"
Nova Scotia,Confederacy of Mainland Mi'kmaq,"Bear River (Part) 6, IRI (1203009); Bear River (Part) 6, IRI (1205002); Bear River 6B, IRI (1205006); Pennal 19, IRI (1206014); New Ross 20, IRI (1206016); Cambridge 32, IRI (1207002); Glooscap 35, IRI (1207027); Indian Brook 14, IRI (1208014); Cole Harbour 30, IRI (1209019); Shubenacadie 13, IRI (1209029); Beaver Lake 17, IRI (1209037); Sheet Harbour 36, IRI (1209038); Wallace Hills 14A, IRI (1209800); Millbrook 27, IRI (1210003); Fisher's Grant 24, IRI (1212019); Merigomish Harbour 31, IRI (1212023); Pomquet And Afton 23, IRI (1214010)"
Nova Scotia,Eskasoni First Nation,"Eskasoni 3, IRI (1217020)"
Nova Scotia,Glooscap First Nation,"Glooscap 35, IRI (1207027)"
Nova Scotia,Membertou,"Membertou 28B, IRI (1217008)"
Nova Scotia,Millbrook First Nation,"Cole Harbour 30, IRI (1209019); Beaver Lake 17, IRI (1209037); Sheet Harbour 36, IRI (1209038); Millbrook 27, IRI (1210003)"
Nova Scotia,Paqtnkek Mi'kmaw Nation,"Pomquet And Afton 23, IRI (1214010)"
Nova Scotia,Pictou Landing First Nation,"Fisher's Grant 24, IRI (1212019); Merigomish Harbour 31, IRI (1212023)"
Nova Scotia,Potlotek First Nation,"Chapel Island 5, IRI (1216014)"
Nova Scotia,Sipekne'katik First Nation,"Pennal 19, IRI (1206014); New Ross 20, IRI (1206016); Indian Brook 14, IRI (1208014); Shubenacadie 13, IRI (1209029); Wallace Hills 14A, IRI (1209800)"
Nova Scotia,Union of Nova Scotia Indians,"Yarmouth 33, IRI (1202040); Ponhook Lake 10, IRI (1204009); Wildcat 12, IRI (1204015); Gold River 21, IRI (1206011); Whycocomagh 2, IRI (1215008); Chapel Island 5, IRI (1216014); Membertou 28B, IRI (1217008); Eskasoni 3, IRI (1217020); Wagmatcook 1, IRI (1218003)"
Nova Scotia,Wagmatcook First Nation,"Wagmatcook 1, IRI (1218003)"
Nova Scotia,We'koqma'q First Nation,"Whycocomagh 2, IRI (1215008)"
New Brunswick,Buctouche MicMac Band,"Buctouche 16, IRI (1308003)"
New Brunswick,Eel Ground First Nation,"Big Hole Tract 8 (South Half), IRI (1309034); Eel Ground 2, IRI (1309035)"
New Brunswick,Eel River Bar First Nation,"Eel River 3, IRI (1314010); Indian Ranch, IRI (1314026)"
New Brunswick,Elsipogtog First Nation,"Richibucto 15, IRI (1308015)"
New Brunswick,Esgenoôpetitj First Nation,"Esgenoôpetitj 14, IRI (1309044); Tabusintac 9, IRI (1309047)"
New Brunswick,Fort Folly First Nation,"Fort Folly 1, IRI (1307014)"
New Brunswick,Indian Island First Nation,"Indian Island 28, IRI (1308020)"
New Brunswick,Kingsclear First Nation,"Kingsclear 6, IRI (1310019)"
New Brunswick,Madawaska Maliseet First Nation,"St. Basile 10, IRI (1313020)"
New Brunswick,Metepenagiag Mi'kmaq Nation,"Red Bank 4, IRI (1309023)"
New Brunswick,North Shore Micmac District Council Inc.,"Fort Folly 1, IRI (1307014); Buctouche 16, IRI (1308003); Indian Island 28, IRI (1308020); Red Bank 4, IRI (1309023); Big Hole Tract 8 (South Half), IRI (1309034); Eel Ground 2, IRI (1309035); Eel River 3, IRI (1314010); Indian Ranch, IRI (1314026); Pabineau 11, IRI (1315010)"
New Brunswick,Oromocto First Nation,"Oromocto 26, IRI (1303013)"
New Brunswick,Pabineau First Nation,"Pabineau 11, IRI (1315010)"
New Brunswick,Saint John River Valley Tribal Council Inc.,"Oromocto 26, IRI (1303013); Devon 30, IRI (1310034); Woodstock 23, IRI (1311005); St. Basile 10, IRI (1313020)"
New Brunswick,St. Mary's First Nation,"Devon 30, IRI (1310034)"
New Brunswick,Tobique First Nation,"Tobique 20, IRI (1312007)"
New Brunswick,Woodstock First Nation,"Woodstock 23, IRI (1311005)"
Quebec,Algonquin Anishinabeg Nation Tribal Council,"Kitigan Zibi, IRI (2483802); Kebaowek, IRI (2485802); Winneway, S-É (2485804); Pikogan, IRI (2488802); Kitcisakik, S-É (2489802); Lac-Simon, IRI (2489804)"
Quebec,Algonquin Nation Programs and Services Secretariat,"Lac-Rapide, IRI (2483804); Hunter's Point, S-É (2485803); Timiskaming, IRI (2485806)"
Quebec,Atikamekw d'Opitciwan,"Obedjiwan, IRI (2490804)"
Quebec,Atikamekw Sipi - Conseil de la Nation Atikamekw,"Manawan, IRI (2462802); Wemotaci, IRI (2490802); Obedjiwan, IRI (2490804)"
Quebec,Bande des Innus de Pessamit,"Pessamit, IRI (2496802)"
Quebec,Communauté Anicinape de Kitcisakik,"Kitcisakik, S-É (2489802)"
Quebec,Conseil de la Première Nation Abitibiwinni,"Pikogan, IRI (2488802)"
Quebec,Conseil des Atikamekw de Wemotaci,"Wemotaci, IRI (2490802)"
Quebec,Conseil Tribal Mamuitun,"Mashteuiatsh, IRI (2491802); Essipit, IRI (2495802); Pessamit, IRI (2496802); Uashat, IRI (2497802); Maliotenam, IRI (2497804); Matimekosh, IRI (2497808); Lac-John, IRI (2497810)"
Quebec,Cree Nation of Chisasibi,"Chisasibi, TC (2499814)"
Quebec,Cree Nation of Mistissini,"Mistissini, TC (2499804)"
Quebec,Cree Nation of Nemaska,"Nemaska, TC (2499808)"
Quebec,Cree Nation of Wemindji,"Wemindji, TC (2499812)"
Quebec,Eagle Village First Nation - Kipawa,"Kebaowek, IRI (2485802)"
Quebec,Eastmain,"Eastmain, TC (2499810)"
Quebec,Grand Conseil de la Nation Waban-Aki Inc.,"Wôlinak, IRI (2438802); Odanak, IRI (2450802)"
